kategorija,nadkategorija
Books and Reference,Books and Reference
Business,Business
Comics,Comics
Communication,Communication
Education,Education
Entertainment,Entertainment
Finance,Finance
Health and fitness,Health and fitness
Libraries and Demo,Libraries and Demo
Lifestyle,Lifestyle 
Medical,Medical
Music and Audio,Music and Audio
News and Magazines,News and Magazines
Personalization,Personalization
Photography,Photography
Productivity,Productivity
Shopping,Shopping
Social,Social
Sports,Sports
Tools,Tools
Transportation,Transportation
Travel and Local,Travel and Local
Weather,Weather
Action,Games
Adventure,Games
Arcade,Games
Board,Games
Card,Games
Casino,Games
Casual,Games
Educational,Games
Music,Games
Puzzle,Games
Racing,Games
Game Role Playing,Games
Simulation,Games
Sports,Games
Strategy,Games
Trivia,Games
Word,Games
Art & Design,Art & Design
Auto & Vehicles,Auto & Vehicles
Beauty,Beauty
Dating,Dating
Events,Events
Food & Drink,Food & Drink
House & Home,House & Home
Maps & Navigation,Maps & Navigation
Media and video,Media and video
Parenting,Parenting
Video Players,Video Players
